GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(Player-1),FinalScore(Player-0),OrdinalPosition(Player-1 rank),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Decisions(ActionsPerTurn (Sum)),Decisions(DecisionPoints (Mean)),Decisions(Decisions),GameScore(LeaderGap),GameScore(Player-1),GameScore(Average),GameScore(Player-0),Winner(PlayerIdx)
1690199556926,Dominion,55,GAME_OVER,222,0,2,2,39.0,47.0,2,2,1,1,MCTSPlayer,MCTSPlayer,221,0.5,111,8.0,39.0,43.0,47.0,0
1690199559634,Dominion,59,GAME_OVER,240,1,2,3,57.0,29.0,1,1,2,2,MCTSPlayer,MCTSPlayer,239,0.5,120,28.0,57.0,43.0,29.0,1
1690199561936,Dominion,55,GAME_OVER,222,0,2,4,31.0,55.0,2,2,1,1,MCTSPlayer,MCTSPlayer,221,0.5,111,24.0,31.0,43.0,55.0,0
1690199563733,Dominion,43,GAME_OVER,174,0,2,5,19.0,25.0,2,2,1,1,MCTSPlayer,MCTSPlayer,173,0.5,87,6.0,19.0,22.0,25.0,0
1690199566375,Dominion,61,GAME_OVER,246,0,2,6,28.0,40.0,2,2,1,1,MCTSPlayer,MCTSPlayer,245,0.5,123,12.0,28.0,34.0,40.0,0
1690199567341,Dominion,45,GAME_OVER,182,0,2,7,19.0,25.0,2,2,1,1,Random,MCTSPlayer,181,0.5,91,6.0,19.0,22.0,25.0,0
1690199568359,Dominion,49,GAME_OVER,198,0,2,8,20.0,30.0,2,2,1,1,Random,MCTSPlayer,197,0.5,99,10.0,20.0,25.0,30.0,0
1690199569192,Dominion,41,GAME_OVER,166,0,2,9,13.0,25.0,2,2,1,1,Random,MCTSPlayer,165,0.5,83,12.0,13.0,19.0,25.0,0
1690199570190,Dominion,49,GAME_OVER,198,0,2,10,9.0,35.0,2,2,1,1,Random,MCTSPlayer,197,0.5,99,26.0,9.0,22.0,35.0,0
1690199571373,Dominion,58,GAME_OVER,234,0,2,11,12.0,26.0,2,2,1,1,Random,MCTSPlayer,233,0.5,117,14.0,12.0,19.0,26.0,0
1690199572217,Dominion,43,GAME_OVER,174,0,2,12,21.0,17.0,1,1,2,2,MCTSPlayer,Random,173,0.5,87,4.0,21.0,19.0,17.0,1
1690199573579,Dominion,62,GAME_OVER,250,0,2,13,22.0,34.0,2,2,1,1,MCTSPlayer,Random,249,0.5,125,12.0,22.0,28.0,34.0,0
1690199575041,Dominion,69,GAME_OVER,280,1,2,14,54.0,14.0,1,1,2,2,MCTSPlayer,Random,279,0.5,140,40.0,54.0,34.0,14.0,1
1690199576390,Dominion,65,GAME_OVER,262,0,2,15,26.0,60.0,2,2,1,1,MCTSPlayer,Random,261,0.5,131,34.0,26.0,43.0,60.0,0
1690199577327,Dominion,46,GAME_OVER,188,1,2,16,30.0,8.0,1,1,2,2,MCTSPlayer,Random,187,0.5,94,22.0,30.0,19.0,8.0,1
1690199577350,Dominion,61,GAME_OVER,246,0,2,17,36.0,14.0,1,1,2,2,Random,Random,245,0.5,123,22.0,36.0,25.0,14.0,1
1690199577373,Dominion,60,GAME_OVER,244,1,2,18,43.0,25.0,1,1,2,2,Random,Random,243,0.5,122,18.0,43.0,34.0,25.0,1
1690199577397,Dominion,46,GAME_OVER,186,0,2,19,24.0,14.0,1,1,2,2,Random,Random,185,0.5,93,10.0,24.0,19.0,14.0,1
1690199577418,Dominion,57,GAME_OVER,232,1,2,20,24.0,20.0,1,1,2,2,Random,Random,231,0.5,116,4.0,24.0,22.0,20.0,1
1690199577441,Dominion,58,GAME_OVER,234,0,2,21,23.0,21.0,1,1,2,2,Random,Random,233,0.5,117,2.0,23.0,22.0,21.0,1
