GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerType-1,PlayerType-0
1690199556926,Dominion,55,GAME_OVER,222,0,2,2,MCTSPlayer,MCTSPlayer
1690199559634,Dominion,59,GAME_OVER,240,1,2,3,MCTSPlayer,MCTSPlayer
1690199561936,Dominion,55,GAME_OVER,222,0,2,4,MCTSPlayer,MCTSPlayer
1690199563733,Dominion,43,GAME_OVER,174,0,2,5,MCTSPlayer,MCTSPlayer
1690199566375,Dominion,61,GAME_OVER,246,0,2,6,MCTSPlayer,MCTSPlayer
1690199567341,Dominion,45,GAME_OVER,182,0,2,7,Random,MCTSPlayer
1690199568359,Dominion,49,GAME_OVER,198,0,2,8,Random,MCTSPlayer
1690199569192,Dominion,41,GAME_OVER,166,0,2,9,Random,MCTSPlayer
1690199570190,Dominion,49,GAME_OVER,198,0,2,10,Random,MCTSPlayer
1690199571373,Dominion,58,GAME_OVER,234,0,2,11,Random,MCTSPlayer
1690199572217,Dominion,43,GAME_OVER,174,0,2,12,MCTSPlayer,Random
1690199573579,Dominion,62,GAME_OVER,250,0,2,13,MCTSPlayer,Random
1690199575041,Dominion,69,GAME_OVER,280,1,2,14,MCTSPlayer,Random
1690199576390,Dominion,65,GAME_OVER,262,0,2,15,MCTSPlayer,Random
1690199577327,Dominion,46,GAME_OVER,188,1,2,16,MCTSPlayer,Random
1690199577350,Dominion,61,GAME_OVER,246,0,2,17,Random,Random
1690199577373,Dominion,60,GAME_OVER,244,1,2,18,Random,Random
1690199577397,Dominion,46,GAME_OVER,186,0,2,19,Random,Random
1690199577418,Dominion,57,GAME_OVER,232,1,2,20,Random,Random
1690199577441,Dominion,58,GAME_OVER,234,0,2,21,Random,Random
